,type,id,accountId,accountRef,date,description,category,amount,status,matchState,fiData,isReviewed,merchantId,etag,isExpense,isPending,discretionaryType,isLinkedToRule,transactionReviewState,lastUpdatedDate,principalCurrency,interestCurrency,escrowCurrency,parentId,checkNumber
298,CashAndCreditTransaction,75417769_3080646685_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,TEA & STRUMPETS @ TRF,"{'id': '75417769_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '75417769_0', 'parentName': 'Root'}",-33.0,POSTED,NOT_MATCHED,"{'id': '202211281747544221105#20221105', 'date': '2022-11-28', 'amount': -33.0, 'description': 'TEA & STRUMPETS @ TRF', 'inferredDescription': 'TEA & STRUMPETS @ TRF', 'inferredCategory': {'id': '75417769_21', 'name': 'Transfer'}}",False,,1669720032000,True,False,NONE,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
301,CashAndCreditTransaction,75417769_3080207237_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,"SQ *INSPIRE PRODUCTIONS,","{'id': '75417769_1', 'name': 'Entertainment', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-27.0,POSTED,NOT_MATCHED,"{'id': '202211271456585221105#20221105', 'date': '2022-11-27', 'amount': -27.0, 'description': 'SQ *INSPIRE PRODUCTIONS,', 'inferredDescription': 'SQ *INSPIRE PRODUCTIONS,', 'inferredCategory': {'id': '75417769_1', 'name': 'Entertainment'}}",False,1032667286.0,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
302,CashAndCreditTransaction,75417769_3080207236_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,TX RF,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-12.65,POSTED,NOT_MATCHED,"{'id': '202211271456725221105#20221105', 'date': '2022-11-27', 'amount': -12.65, 'description': 'TX RF', 'inferredDescription': 'TX RF', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
303,CashAndCreditTransaction,75417769_3080207235_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,SQ *CROWN RENAISSANCE JEW,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-27.06,POSTED,NOT_MATCHED,"{'id': '202211271456605221105#20221105', 'date': '2022-11-27', 'amount': -27.06, 'description': 'SQ *CROWN RENAISSANCE JEW', 'inferredDescription': 'SQ *CROWN RENAISSANCE JEW', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
304,CashAndCreditTransaction,75417769_3080207234_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,Target,"{'id': '75417769_701', 'name': 'Groceries', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-40.99,POSTED,NOT_MATCHED,"{'id': '202211271456635221105#20221105', 'date': '2022-11-27', 'amount': -40.99, 'description': 'TARGET        00024281', 'inferredDescription': 'Target', 'inferredCategory': {'id': '75417769_701', 'name': 'Groceries'}}",False,1072.0,1669633893000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
305,CashAndCreditTransaction,75417769_3080207233_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,TEXAS RENAISSANCE FE,"{'id': '75417769_1504', 'name': 'Vacation', 'categoryType': 'EXPENSE', 'parentId': '75417769_15', 'parentName': 'Travel'}",-78.0,POSTED,NOT_MATCHED,"{'id': '202211271456665221105#20221105', 'date': '2022-11-27', 'amount': -78.0, 'description': 'TEXAS RENAISSANCE FE', 'inferredDescription': 'TEXAS RENAISSANCE FE', 'inferredCategory': {'id': '75417769_1504', 'name': 'Vacation'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
306,CashAndCreditTransaction,75417769_3080207232_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,TX RF,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-25.3,POSTED,NOT_MATCHED,"{'id': '202211271456695221105#20221105', 'date': '2022-11-27', 'amount': -25.3, 'description': 'TX RF', 'inferredDescription': 'TX RF', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
307,CashAndCreditTransaction,75417769_3080207231_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,CIS EVENTS AND CATERING,"{'id': '75417769_7', 'name': 'Food & Dining', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-36.14,POSTED,NOT_MATCHED,"{'id': '202211271456575221105#20221105', 'date': '2022-11-27', 'amount': -36.14, 'description': 'CIS EVENTS AND CATERING', 'inferredDescription': 'CIS EVENTS AND CATERING', 'inferredCategory': {'id': '75417769_7', 'name': 'Food & Dining'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
308,CashAndCreditTransaction,75417769_3080207230_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,TX RF,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-12.65,POSTED,NOT_MATCHED,"{'id': '202211271456675221105#20221105', 'date': '2022-11-27', 'amount': -12.65, 'description': 'TX RF', 'inferredDescription': 'TX RF', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
309,CashAndCreditTransaction,75417769_3080207229_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,BOSQUE MINI MART,"{'id': '75417769_1401', 'name': 'Gas & Fuel', 'categoryType': 'EXPENSE', 'parentId': '75417769_14', 'parentName': 'Auto & Transport'}",-32.54,POSTED,NOT_MATCHED,"{'id': '202211271456645221105#20221105', 'date': '2022-11-27', 'amount': -32.54, 'description': 'BOSQUE MINI MART', 'inferredDescription': 'BOSQUE MINI MART', 'inferredCategory': {'id': '75417769_1401', 'name': 'Gas & Fuel'}}",False,1003746277.0,1669633893000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
310,CashAndCreditTransaction,75417769_3080207228_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,THE FROCK SHOPPE,"{'id': '75417769_201', 'name': 'Clothing', 'categoryType': 'EXPENSE', 'parentId': '75417769_2', 'parentName': 'Shopping'}",-70.36,POSTED,NOT_MATCHED,"{'id': '202211271456615221105#20221105', 'date': '2022-11-27', 'amount': -70.36, 'description': 'THE FROCK SHOPPE', 'inferredDescription': 'THE FROCK SHOPPE', 'inferredCategory': {'id': '75417769_201', 'name': 'Clothing'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
311,CashAndCreditTransaction,75417769_3080207227_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,SQ *WONDROUS WORKS IN WOO,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-54.0,POSTED,NOT_MATCHED,"{'id': '202211271456765221105#20221105', 'date': '2022-11-27', 'amount': -54.0, 'description': 'SQ *WONDROUS WORKS IN WOO', 'inferredDescription': 'SQ *WONDROUS WORKS IN WOO', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,1004547117.0,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
312,CashAndCreditTransaction,75417769_3080207226_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,SQ *RENMEAD,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-25.96,POSTED,NOT_MATCHED,"{'id': '202211271456735221105#20221105', 'date': '2022-11-27', 'amount': -25.96, 'description': 'SQ *RENMEAD', 'inferredDescription': 'SQ *RENMEAD', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
313,CashAndCreditTransaction,75417769_3080207225_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,TX RF,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-20.0,POSTED,NOT_MATCHED,"{'id': '202211271456705221105#20221105', 'date': '2022-11-27', 'amount': -20.0, 'description': 'TX RF', 'inferredDescription': 'TX RF', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
314,CashAndCreditTransaction,75417769_3080207223_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,SQ *WONDROUS WORKS IN WOO,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-19.0,POSTED,NOT_MATCHED,"{'id': '202211271456685221105#20221105', 'date': '2022-11-27', 'amount': -19.0, 'description': 'SQ *WONDROUS WORKS IN WOO', 'inferredDescription': 'SQ *WONDROUS WORKS IN WOO', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,1004547117.0,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
315,CashAndCreditTransaction,75417769_3080207222_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-27,RENBOOTS - KOMMANDO KILTS,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-37.89,POSTED,NOT_MATCHED,"{'id': '202211271456655221105#20221105', 'date': '2022-11-27', 'amount': -37.89, 'description': 'RENBOOTS - KOMMANDO KILTS', 'inferredDescription': 'RENBOOTS - KOMMANDO KILTS', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669633893000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-28T11:11:33Z,,,,,
